初始测试用例数目为30:
基因型:1110111100	适应度:193.18728395148938
基因型:1110111010	适应度:187.54587165906457
基因型:1110100000	适应度:124.40197868670317
基因型:1101101111	适应度:48.34279946128031
基因型:1101011101	适应度:31.39196879657611
基因型:1010101011	适应度:4.7273038206341775
基因型:1111101100	适应度:368.2668914069595
基因型:1101000101	适应度:15.713999327715461
基因型:1110110101	适应度:173.9559108416598
基因型:1111110110	适应度:415.568977453806
基因型:1010111010	适应度:3.6409608515429777
基因型:1111101110	适应度:377.399134764767
基因型:1000010110	适应度:1.499882949665165
基因型:1010011111	适应度:5.4566944194406855
基因型:1110111111	适应度:201.8744092707093
基因型:1010001100	适应度:6.247272613103446
基因型:1100110011	适应度:8.15640793736461
基因型:1111010110	适应度:278.0077617993362
基因型:1111110011	适应度:400.94360403719224
基因型:1101111101	适应度:65.19980934372084
基因型:1110110000	适应度:161.08023067561993
基因型:1110010011	适应度:99.2846725171072
基因型:1111001101	适应度:246.13510993730938
基因型:1100111000	适应度:9.943720021014412
基因型:1100000111	适应度:0.34010887055484423
基因型:1100100001	适应度:3.427685730736444
基因型:1110110101	适应度:173.9559108416598
基因型:1110101111	适应度:158.5886973994612
基因型:1001010010	适应度:5.3418353806529595
基因型:1011110110	适应度:0.01672391999448354

第10代群体:
基因型:1011111101	适应度:0.02337721457255388
基因型:1011111101	适应度:0.02337721457255388
基因型:1111111110	适应度:456.4530599135206
基因型:1111111111	适应度:461.7603900415999
基因型:1011111101	适应度:0.02337721457255388
基因型:1111111110	适应度:456.4530599135206
基因型:1111111111	适应度:461.7603900415999
基因型:1011111101	适应度:0.02337721457255388
基因型:1111111110	适应度:456.4530599135206
基因型:1111111111	适应度:461.7603900415999
基因型:1011111101	适应度:0.02337721457255388
基因型:1111111110	适应度:456.4530599135206
基因型:1111111110	适应度:456.4530599135206
基因型:1111111111	适应度:461.7603900415999
基因型:1111111110	适应度:456.4530599135206
基因型:1011111101	适应度:0.02337721457255388
基因型:1111111110	适应度:456.4530599135206
基因型:1011111101	适应度:0.02337721457255388
基因型:1111111110	适应度:456.4530599135206
基因型:1011111101	适应度:0.02337721457255388
基因型:1111111110	适应度:456.4530599135206
基因型:1111111111	适应度:461.7603900415999
基因型:1111111111	适应度:461.7603900415999
基因型:1111111111	适应度:461.7603900415999
基因型:1111111111	适应度:461.7603900415999
基因型:1111111110	适应度:456.4530599135206
基因型:1111111111	适应度:461.7603900415999
基因型:1011111101	适应度:0.02337721457255388
基因型:1111111110	适应度:456.4530599135206
基因型:1111111111	适应度:461.7603900415999

约简后数目为5:
基因型:1111111111	适应度:461.7603900415999
基因型:1011111101	适应度:0.02337721457255388
基因型:1111111110	适应度:456.4530599135206
基因型:1111111111	适应度:461.7603900415999
基因型:1111111111	适应度:461.7603900415999
其中最高是：
基因型:1111111111	适应度:461.7603900415999


